chr	start	end	name	score	strand	cluster_ID	cluster_ACC
1	7335632	7338567	ENSTNIG00000013144	.	+	C1409	PF02932
1	7344368	7347578	ENSTNIG00000013145	.	+	C1397	PF02931
1	7344368	7347578	ENSTNIG00000013145	.	+	C1409	PF02932
1	7351939	7355152	ENSTNIG00000013146	.	+	C1397	PF02931
1	7351939	7355152	ENSTNIG00000013146	.	+	C1409	PF02932
1	7363280	7369958	ENSTNIG00000005912	.	+	C1397	PF02931
1	7363280	7369958	ENSTNIG00000005912	.	+	C1409	PF02932
1	8414448	8416674	ENSTNIG00000016816	.	-	C833	PF00250
1	8453347	8453840	ENSTNIG00000002057	.	-	C833	PF00250
1	8639309	8661400	ENSTNIG00000016827	.	-	C1037	PF00595
1	8699060	8700979	ENSTNIG00000016829	.	+	C1037	PF00595
1	8970022	8972509	ENSTNIG00000016840	.	-	C614	PF00096
1	8979698	8982038	ENSTNIG00000016841	.	+	C614	PF00096
1	9030704	9031391	ENSTNIG00000016842	.	+	C37	PF00001
1	9070078	9073515	ENSTNIG00000016846	.	-	C37	PF00001
1	9506041	9507281	ENSTNIG00000019684	.	-	C38	PF00001
1	9514431	9515698	ENSTNIG00000002953	.	-	C38	PF00001
1	9529912	9530822	ENSTNIG00000002954	.	+	C38	PF00001
1	9552032	9555752	ENSTNIG00000002955	.	+	C38	PF00001
1	10111296	10114872	ENSTNIG00000013757	.	+	C1010	PF00560
1	10117990	10120525	ENSTNIG00000013758	.	+	C1010	PF00560
1	10437358	10439969	ENSTNIG00000000651	.	-	C615	PF00096
1	10524333	10527156	ENSTNIG00000013771	.	-	C615	PF00096
1	10853963	10861548	ENSTNIG00000010648	.	-	C1394	PF02931
1	10853963	10861548	ENSTNIG00000010648	.	-	C1408	PF02932
1	10863813	10875445	ENSTNIG00000010649	.	+	C1394	PF02931
1	10863813	10875445	ENSTNIG00000010649	.	+	C1408	PF02932
1	10879240	10900197	ENSTNIG00000010650	.	+	C1394	PF02931
1	10879240	10900197	ENSTNIG00000010650	.	+	C1408	PF02932
1	10971368	10972702	ENSTNIG00000010653	.	+	C1488	PF05653
1	10974546	10976201	ENSTNIG00000010654	.	+	C1488	PF05653
1	11040790	11042958	ENSTNIG00000010660	.	-	C1142	PF00795
1	11048079	11050443	ENSTNIG00000000805	.	-	C1142	PF00795
1	11819157	11829775	ENSTNIG00000017657	.	+	C320	PF00047
1	11819157	11829775	ENSTNIG00000017657	.	+	C467	PF00069
1	11819157	11829775	ENSTNIG00000017657	.	+	C1586	PF07679
1	11819157	11829775	ENSTNIG00000017657	.	+	C1698	PF07714
1	11841226	11856966	ENSTNIG00000017656	.	+	C320	PF00047
1	11841226	11856966	ENSTNIG00000017656	.	+	C467	PF00069
1	11841226	11856966	ENSTNIG00000017656	.	+	C1586	PF07679
1	11841226	11856966	ENSTNIG00000017656	.	+	C1632	PF07686
1	11841226	11856966	ENSTNIG00000017656	.	+	C1698	PF07714
1	11873777	11884535	ENSTNIG00000017655	.	-	C320	PF00047
1	11873777	11884535	ENSTNIG00000017655	.	-	C467	PF00069
1	11873777	11884535	ENSTNIG00000017655	.	-	C1586	PF07679
1	11873777	11884535	ENSTNIG00000017655	.	-	C1632	PF07686
1	11873777	11884535	ENSTNIG00000017655	.	-	C1698	PF07714
1	12797939	12800167	ENSTNIG00000010865	.	-	C395	PF00067
1	12800654	12807922	ENSTNIG00000010866	.	-	C395	PF00067
1	12809645	12812864	ENSTNIG00000013169	.	-	C395	PF00067
1	12812994	12816154	ENSTNIG00000013170	.	+	C395	PF00067
1	12817140	12820699	ENSTNIG00000001576	.	+	C395	PF00067
1	12822311	12825566	ENSTNIG00000000727	.	+	C395	PF00067
1	12839101	12843911	ENSTNIG00000001805	.	+	C248	PF00041
1	12910396	12914748	ENSTNIG00000013180	.	+	C248	PF00041
1	12921000	12923326	ENSTNIG00000013182	.	+	C516	PF00071
1	12921000	12923326	ENSTNIG00000013182	.	+	C1780	PF08477
1	12928538	12930837	ENSTNIG00000013184	.	-	C516	PF00071
1	12928538	12930837	ENSTNIG00000013184	.	-	C1780	PF08477
1	13566647	13567741	ENSTNIG00000010640	.	+	C568	PF00089
1	13568801	13570594	ENSTNIG00000001557	.	+	C568	PF00089
1	13573462	13575151	ENSTNIG00000010639	.	+	C568	PF00089
1	14178566	14200512	ENSTNIG00000006640	.	-	C99	PF00008
1	14178566	14200512	ENSTNIG00000006640	.	-	C1517	PF07645
1	14178566	14200512	ENSTNIG00000006640	.	-	C1736	PF07974
1	14284897	14288983	ENSTNIG00000006632	.	+	C99	PF00008
1	14284897	14288983	ENSTNIG00000006632	.	+	C1517	PF07645
1	14284897	14288983	ENSTNIG00000006632	.	+	C1736	PF07974
1	14290215	14292708	ENSTNIG00000006631	.	+	C394	PF00067
1	14293510	14296022	ENSTNIG00000006630	.	-	C394	PF00067
1	14341482	14344111	ENSTNIG00000006626	.	-	C466	PF00069
1	14428021	14437995	ENSTNIG00000010698	.	-	C466	PF00069
1	14742240	14744311	ENSTNIG00000003210	.	+	C916	PF00412
1	14775538	14778662	ENSTNIG00000005111	.	+	C916	PF00412
1	14883046	14884129	ENSTNIG00000015447	.	-	C834	PF00250
1	14888588	14889695	ENSTNIG00000015448	.	-	C834	PF00250
1	14935668	14943573	ENSTNIG00000015451	.	+	C133	PF00017
1	14957695	14969994	ENSTNIG00000015453	.	+	C133	PF00017
1	15025313	15041915	ENSTNIG00000015457	.	+	C903	PF00400
1	15025313	15041915	ENSTNIG00000015457	.	+	C1450	PF03920
1	15045913	15076121	ENSTNIG00000015458	.	-	C903	PF00400
1	15045913	15076121	ENSTNIG00000015458	.	-	C1450	PF03920
1	15102266	15112017	ENSTNIG00000009553	.	-	C1450	PF03920
1	15121874	15127814	ENSTNIG00000015459	.	-	C951	PF00503
1	15131076	15136627	ENSTNIG00000015460	.	+	C951	PF00503
1	15215727	15218975	ENSTNIG00000015471	.	+	C716	PF00151
1	15215727	15218975	ENSTNIG00000015471	.	+	C1283	PF01477
1	15221716	15225193	ENSTNIG00000015472	.	+	C716	PF00151
1	15221716	15225193	ENSTNIG00000015472	.	+	C1283	PF01477
1	16178921	16180638	ENSTNIG00000015520	.	-	C1100	PF00651
1	16178921	16180638	ENSTNIG00000015520	.	-	C1236	PF01344
1	16178921	16180638	ENSTNIG00000015520	.	-	C1529	PF07646
1	16178921	16180638	ENSTNIG00000015520	.	-	C1681	PF07707
1	16189678	16191526	ENSTNIG00000015521	.	-	C1100	PF00651
1	16189678	16191526	ENSTNIG00000015521	.	-	C1236	PF01344
1	16189678	16191526	ENSTNIG00000015521	.	-	C1529	PF07646
1	16189678	16191526	ENSTNIG00000015521	.	-	C1681	PF07707
1	16198435	16199355	ENSTNIG00000015523	.	-	C567	PF00089
1	16199788	16202242	ENSTNIG00000015524	.	-	C567	PF00089
1	16205635	16207542	ENSTNIG00000015526	.	+	C1100	PF00651
1	16205635	16207542	ENSTNIG00000015526	.	+	C1236	PF01344
1	16205635	16207542	ENSTNIG00000015526	.	+	C1529	PF07646
1	16205635	16207542	ENSTNIG00000015526	.	+	C1681	PF07707
1	16323311	16352066	ENSTNIG00000015533	.	-	C321	PF00047
1	16323311	16352066	ENSTNIG00000015533	.	-	C1593	PF07679
1	16376546	16381950	ENSTNIG00000015536	.	-	C321	PF00047
1	16376546	16381950	ENSTNIG00000015536	.	-	C1593	PF07679
1	16645749	16657678	ENSTNIG00000001300	.	+	C1396	PF02931
1	16645749	16657678	ENSTNIG00000001300	.	+	C1406	PF02932
1	16648429	16651806	ENSTNIG00000015559	.	-	C1396	PF02931
1	16648429	16651806	ENSTNIG00000015559	.	-	C1406	PF02932
1	16658253	16661012	ENSTNIG00000015560	.	+	C1396	PF02931
1	17034175	17036601	ENSTNIG00000013080	.	-	C1289	PF01501
1	17044289	17051350	ENSTNIG00000010501	.	-	C1289	PF01501
1	18545348	18551552	ENSTNIG00000001649	.	+	C828	PF00245
1	18552680	18556312	ENSTNIG00000012188	.	+	C828	PF00245
1	19121529	19134216	ENSTNIG00000010073	.	-	C1070	PF00628
1	19137305	19141210	ENSTNIG00000010072	.	-	C1070	PF00628
1	19164091	19169848	ENSTNIG00000010067	.	+	C465	PF00069
1	19171272	19171992	ENSTNIG00000010066	.	-	C1319	PF01762
1	19172931	19174452	ENSTNIG00000010065	.	-	C1319	PF01762
1	19179847	19180990	ENSTNIG00000010064	.	-	C1319	PF01762
1	19202542	19215466	ENSTNIG00000010062	.	-	C465	PF00069
1	19202542	19215466	ENSTNIG00000010062	.	-	C1036	PF00595
1	19291898	19294243	ENSTNIG00000006089	.	+	C1036	PF00595
1	19853250	19863630	ENSTNIG00000010169	.	-	C464	PF00069
1	19884259	19890868	ENSTNIG00000010166	.	-	C464	PF00069
1	19901461	19904370	ENSTNIG00000010164	.	-	C464	PF00069
1	19948656	19950516	ENSTNIG00000002253	.	+	C1433	PF03366
1	19953056	19954065	ENSTNIG00000005712	.	+	C1433	PF03366
1	20003005	20006586	ENSTNIG00000018124	.	+	C98	PF00008
1	20041046	20048387	ENSTNIG00000018120	.	-	C98	PF00008
1	20289025	20292219	ENSTNIG00000018112	.	+	C958	PF00515
1	20296990	20300225	ENSTNIG00000018111	.	-	C958	PF00515
1	20359127	20370228	ENSTNIG00000018107	.	+	C463	PF00069
1	20359127	20370228	ENSTNIG00000018107	.	+	C1699	PF07714
1	20441373	20461789	ENSTNIG00000018105	.	-	C463	PF00069
1	20441373	20461789	ENSTNIG00000018105	.	-	C1699	PF07714
1	20809753	20810457	ENSTNIG00000000768	.	-	C462	PF00069
1	20810513	20811343	ENSTNIG00000018094	.	-	C462	PF00069
1	20810513	20811343	ENSTNIG00000018094	.	-	C1700	PF07714
1	20895631	20905603	ENSTNIG00000018089	.	+	C462	PF00069
1	20895631	20905603	ENSTNIG00000018089	.	+	C1700	PF07714
1	20978375	20982873	ENSTNIG00000018086	.	-	C1252	PF01391
1	20983708	21015129	ENSTNIG00000018085	.	-	C1252	PF01391
1	21180226	21195727	ENSTNIG00000018077	.	-	C1213	PF01153
1	21210314	21221408	ENSTNIG00000018076	.	-	C1213	PF01153
1	21263813	21282223	ENSTNIG00000018074	.	+	C1035	PF00595
1	21316984	21332174	ENSTNIG00000018073	.	+	C1035	PF00595
1	21411110	21413134	ENSTNIG00000003318	.	-	C1494	PF05805
1	21420708	21422521	ENSTNIG00000003317	.	+	C1494	PF05805
1	21445680	21446484	ENSTNIG00000005506	.	+	C39	PF00001
1	21455937	21458757	ENSTNIG00000006786	.	+	C39	PF00001
1	21460586	21461303	ENSTNIG00000006982	.	+	C39	PF00001
1	21753599	21759948	ENSTNIG00000004324	.	-	C1326	PF01833
1	21781345	21804854	ENSTNIG00000008223	.	-	C1326	PF01833
1	21843563	21846020	ENSTNIG00000008224	.	+	C835	PF00250
1	21852207	21853680	ENSTNIG00000001080	.	+	C835	PF00250
1	21857021	21927790	ENSTNIG00000008225	.	-	C1242	PF01370
1	21972782	21974659	ENSTNIG00000008229	.	+	C528	PF00079
1	21975617	21978771	ENSTNIG00000008230	.	+	C1242	PF01370
1	21982566	21983213	ENSTNIG00000008227	.	+	C528	PF00079
1	21985640	21987526	ENSTNIG00000008228	.	+	C1242	PF01370
1	22014801	22046226	ENSTNIG00000008233	.	-	C1075	PF00640
1	22053546	22059796	ENSTNIG00000000353	.	-	C1047	PF00615
1	22092871	22093423	ENSTNIG00000008234	.	-	C1075	PF00640
1	22094640	22096855	ENSTNIG00000008235	.	-	C206	PF00031
1	22097785	22100344	ENSTNIG00000002444	.	-	C206	PF00031
1	22103489	22106516	ENSTNIG00000008236	.	-	C1047	PF00615
1	22223822	22224656	ENSTNIG00000012341	.	+	C1481	PF05018
1	22225206	22228285	ENSTNIG00000012340	.	+	C1481	PF05018
1	22448054	22448673	ENSTNIG00000012338	.	+	C1048	PF00615
1	22453902	22455513	ENSTNIG00000012337	.	+	C1048	PF00615
1	22621429	22626221	ENSTNIG00000012333	.	+	C538	PF00084
1	22623096	22636560	ENSTNIG00000012331	.	+	C538	PF00084
1	22628868	22630571	ENSTNIG00000012332	.	+	C538	PF00084
1	22653672	22656531	ENSTNIG00000012329	.	-	C1482	PF05018
1	22658125	22659531	ENSTNIG00000012328	.	-	C1482	PF05018
1	22829084	22830176	ENSTNIG00000000228	.	+	C547	PF00086
1	22829084	22830176	ENSTNIG00000000228	.	+	C815	PF00219
1	22832332	22842652	ENSTNIG00000006450	.	-	C547	PF00086
1	22832332	22842652	ENSTNIG00000006450	.	-	C815	PF00219
1	22849190	22863856	ENSTNIG00000006451	.	-	C132	PF00017
1	22882017	22894868	ENSTNIG00000006235	.	+	C132	PF00017
1	22911953	22915993	ENSTNIG00000006236	.	+	C72	PF00002
1	22911953	22915993	ENSTNIG00000006236	.	+	C1378	PF02793
1	22919422	22923666	ENSTNIG00000006237	.	-	C72	PF00002
1	22919422	22923666	ENSTNIG00000006237	.	-	C1378	PF02793
10	1041208	1042266	ENSTNIG00000000538	.	-	C1418	PF03079
10	1041208	1042266	ENSTNIG00000000538	.	-	C1721	PF07883
10	1044595	1045638	ENSTNIG00000001550	.	-	C1418	PF03079
10	1044595	1045638	ENSTNIG00000001550	.	-	C1721	PF07883
10	1663654	1682762	ENSTNIG00000008912	.	+	C461	PF00069
10	1709045	1751332	ENSTNIG00000008909	.	-	C461	PF00069
10	2348721	2356556	ENSTNIG00000005648	.	+	C1092	PF00648
10	2348721	2356556	ENSTNIG00000005648	.	+	C1201	PF01067
10	2358479	2364625	ENSTNIG00000001585	.	+	C1092	PF00648
10	2358479	2364625	ENSTNIG00000001585	.	+	C1201	PF01067
10	2552741	2555252	ENSTNIG00000001310	.	-	C679	PF00107
10	2552741	2555252	ENSTNIG00000001310	.	-	C1742	PF08240
10	2555594	2558651	ENSTNIG00000005640	.	-	C679	PF00107
10	2555594	2558651	ENSTNIG00000005640	.	-	C1742	PF08240
10	2561185	2563259	ENSTNIG00000000922	.	-	C679	PF00107
10	2561185	2563259	ENSTNIG00000000922	.	-	C1742	PF08240
10	2565637	2570988	ENSTNIG00000001516	.	-	C679	PF00107
10	2565637	2570988	ENSTNIG00000001516	.	-	C1742	PF08240
10	2573040	2574788	ENSTNIG00000005639	.	-	C679	PF00107
10	2573040	2574788	ENSTNIG00000005639	.	-	C1742	PF08240
10	3063340	3094379	ENSTNIG00000016884	.	-	C770	PF00169
10	3063340	3094379	ENSTNIG00000016884	.	-	C1034	PF00595
10	3134617	3165031	ENSTNIG00000016886	.	-	C770	PF00169
10	3134617	3165031	ENSTNIG00000016886	.	-	C1034	PF00595
10	3190469	3199160	ENSTNIG00000016889	.	+	C770	PF00169
10	3323932	3325387	ENSTNIG00000016892	.	+	C274	PF00046
10	3339650	3341296	ENSTNIG00000016893	.	+	C274	PF00046
10	3502586	3504059	ENSTNIG00000000943	.	-	C616	PF00096
10	3517897	3520206	ENSTNIG00000016896	.	+	C1203	PF01073
10	3517897	3520206	ENSTNIG00000016896	.	+	C1243	PF01370
10	3522010	3523575	ENSTNIG00000016897	.	+	C616	PF00096
10	3528395	3529262	ENSTNIG00000016899	.	-	C195	PF00029
10	3532603	3533380	ENSTNIG00000016900	.	-	C195	PF00029
10	3534408	3536963	ENSTNIG00000016901	.	-	C526	PF00076
10	3537533	3543863	ENSTNIG00000016902	.	-	C526	PF00076
10	3574870	3576867	ENSTNIG00000016908	.	+	C1203	PF01073
10	3574870	3576867	ENSTNIG00000016908	.	+	C1243	PF01370
10	3578598	3580598	ENSTNIG00000000882	.	+	C1243	PF01370
10	4259215	4269322	ENSTNIG00000017462	.	+	C769	PF00169
10	4299259	4316633	ENSTNIG00000019495	.	-	C769	PF00169
10	4746371	4748718	ENSTNIG00000001260	.	+	C515	PF00071
10	4746371	4748718	ENSTNIG00000001260	.	+	C1779	PF08477
10	4827126	4828077	ENSTNIG00000017434	.	-	C515	PF00071
10	4827126	4828077	ENSTNIG00000017434	.	-	C1779	PF08477
10	4837748	4842221	ENSTNIG00000017432	.	-	C97	PF00008
10	4837748	4842221	ENSTNIG00000017432	.	-	C1735	PF07974
10	4914125	4971141	ENSTNIG00000017426	.	-	C97	PF00008
10	4914125	4971141	ENSTNIG00000017426	.	-	C1735	PF07974
10	5012038	5013744	ENSTNIG00000017420	.	+	C1349	PF02191
10	5015882	5017107	ENSTNIG00000017419	.	+	C1349	PF02191
10	5018371	5019669	ENSTNIG00000017418	.	+	C1349	PF02191
10	5025406	5029325	ENSTNIG00000017416	.	-	C798	PF00198
10	5025406	5029325	ENSTNIG00000017416	.	-	C867	PF00364
10	5037825	5043894	ENSTNIG00000017415	.	-	C798	PF00198
10	5037825	5043894	ENSTNIG00000017415	.	-	C867	PF00364
10	5238467	5239341	ENSTNIG00000017406	.	-	C775	PF00170
10	5238467	5239341	ENSTNIG00000017406	.	-	C1711	PF07716
10	5241427	5243441	ENSTNIG00000017405	.	-	C775	PF00170
10	5241427	5243441	ENSTNIG00000017405	.	-	C1711	PF07716
10	5766138	5777968	ENSTNIG00000017371	.	-	C1352	PF02207
10	5859883	5862608	ENSTNIG00000017363	.	-	C1352	PF02207
10	6038226	6039686	ENSTNIG00000017347	.	+	C275	PF00046
10	6050124	6052140	ENSTNIG00000017345	.	-	C275	PF00046
10	6058016	6062549	ENSTNIG00000017344	.	-	C275	PF00046
10	6118302	6126232	ENSTNIG00000017339	.	+	C116	PF00010
10	6118302	6126232	ENSTNIG00000017339	.	+	C1760	PF08447
10	6118302	6126232	ENSTNIG00000017339	.	+	C1796	PF08778
10	6129714	6135079	ENSTNIG00000017338	.	+	C116	PF00010
10	6129714	6135079	ENSTNIG00000017338	.	+	C1760	PF08447
10	6129714	6135079	ENSTNIG00000017338	.	+	C1796	PF08778
10	6367422	6391827	ENSTNIG00000017311	.	-	C176	PF00023
10	6415342	6441852	ENSTNIG00000017309	.	+	C176	PF00023
10	7354893	7359094	ENSTNIG00000017273	.	-	C1489	PF05653
10	7364569	7367335	ENSTNIG00000017271	.	-	C1489	PF05653
10	7392259	7406223	ENSTNIG00000017267	.	-	C768	PF00169
10	7444551	7458516	ENSTNIG00000017265	.	-	C768	PF00169
10	7843059	7845457	ENSTNIG00000017249	.	-	C1235	PF01344
10	7843059	7845457	ENSTNIG00000017249	.	-	C1528	PF07646
10	7850452	7854971	ENSTNIG00000017247	.	+	C1235	PF01344
10	7850452	7854971	ENSTNIG00000017247	.	+	C1528	PF07646
10	7926391	7927309	ENSTNIG00000001532	.	+	C40	PF00001
10	7931101	7933451	ENSTNIG00000000275	.	+	C40	PF00001
10	7934212	7935130	ENSTNIG00000017246	.	+	C40	PF00001
10	8602605	8603676	ENSTNIG00000017225	.	+	C1156	PF00852
10	8614109	8615189	ENSTNIG00000017224	.	+	C1156	PF00852
10	8645261	8646891	ENSTNIG00000000080	.	-	C1337	PF02063
10	8653300	8659457	ENSTNIG00000017221	.	+	C131	PF00017
10	8653300	8659457	ENSTNIG00000017221	.	+	C155	PF00018
10	8653300	8659457	ENSTNIG00000017221	.	+	C460	PF00069
10	8653300	8659457	ENSTNIG00000017221	.	+	C1557	PF07653
10	8653300	8659457	ENSTNIG00000017221	.	+	C1706	PF07714
10	8661978	8663591	ENSTNIG00000017220	.	-	C1337	PF02063
10	8670603	8677300	ENSTNIG00000017219	.	+	C131	PF00017
10	8670603	8677300	ENSTNIG00000017219	.	+	C155	PF00018
10	8670603	8677300	ENSTNIG00000017219	.	+	C460	PF00069
10	8670603	8677300	ENSTNIG00000017219	.	+	C1557	PF07653
10	8670603	8677300	ENSTNIG00000017219	.	+	C1706	PF07714
10	9000347	9009245	ENSTNIG00000001783	.	+	C247	PF00041
10	9012638	9014300	ENSTNIG00000001785	.	-	C247	PF00041
10	9208004	9209040	ENSTNIG00000004030	.	+	C322	PF00047
10	9208004	9209040	ENSTNIG00000004030	.	+	C1633	PF07686
10	9209594	9210831	ENSTNIG00000001460	.	-	C322	PF00047
10	9209594	9210831	ENSTNIG00000001460	.	-	C1562	PF07654
10	9215461	9215925	ENSTNIG00000001416	.	+	C322	PF00047
10	9215461	9215925	ENSTNIG00000001416	.	+	C1633	PF07686
10	9216813	9217262	ENSTNIG00000001422	.	+	C322	PF00047
10	9216813	9217262	ENSTNIG00000001422	.	+	C1633	PF07686
10	9220216	9221919	ENSTNIG00000004029	.	-	C322	PF00047
10	9220216	9221919	ENSTNIG00000004029	.	-	C1562	PF07654
10	9222132	9223358	ENSTNIG00000000043	.	+	C322	PF00047
10	9222132	9223358	ENSTNIG00000000043	.	+	C1633	PF07686
10	9223549	9224013	ENSTNIG00000000854	.	+	C322	PF00047
10	9223549	9224013	ENSTNIG00000000854	.	+	C1633	PF07686
10	9227764	9228228	ENSTNIG00000001212	.	+	C322	PF00047
10	9227764	9228228	ENSTNIG00000001212	.	+	C1633	PF07686
10	9228954	9230009	ENSTNIG00000001366	.	-	C1562	PF07654
10	9230655	9231118	ENSTNIG00000000611	.	+	C322	PF00047
10	9230655	9231118	ENSTNIG00000000611	.	+	C1633	PF07686
10	9233501	9233994	ENSTNIG00000000109	.	+	C1633	PF07686
10	9234839	9235333	ENSTNIG00000000909	.	+	C322	PF00047
10	9234839	9235333	ENSTNIG00000000909	.	+	C1633	PF07686
10	9247075	9247721	ENSTNIG00000001439	.	-	C1633	PF07686
10	9249910	9250355	ENSTNIG00000000252	.	-	C322	PF00047
10	9249910	9250355	ENSTNIG00000000252	.	-	C1633	PF07686
10	9250975	9252645	ENSTNIG00000000323	.	-	C1633	PF07686
10	9254612	9258129	ENSTNIG00000019429	.	-	C470	PF00069
10	9254612	9258129	ENSTNIG00000019429	.	-	C1133	PF00786
10	9254612	9258129	ENSTNIG00000019429	.	-	C1702	PF07714
10	9311512	9315030	ENSTNIG00000006866	.	-	C470	PF00069
10	9311512	9315030	ENSTNIG00000006866	.	-	C1133	PF00786
10	9311512	9315030	ENSTNIG00000006866	.	-	C1702	PF07714
10	9409829	9437296	ENSTNIG00000001560	.	+	C246	PF00041
10	9437383	9448439	ENSTNIG00000006666	.	+	C246	PF00041
10	9821164	9824857	ENSTNIG00000010286	.	-	C1745	PF08241
10	9821164	9824857	ENSTNIG00000010286	.	-	C1747	PF08242
10	9859628	9860577	ENSTNIG00000010285	.	-	C1745	PF08241
10	9859628	9860577	ENSTNIG00000010285	.	-	C1747	PF08242
10	9895462	9896647	ENSTNIG00000010288	.	+	C41	PF00001
10	9958573	9959932	ENSTNIG00000010291	.	-	C41	PF00001
10	10542852	10544008	ENSTNIG00000005563	.	+	C1672	PF07690
10	10546164	10548194	ENSTNIG00000005562	.	+	C1672	PF07690
10	10856636	10858259	ENSTNIG00000019267	.	-	C680	PF00107
10	10906260	10908549	ENSTNIG00000019269	.	-	C680	PF00107
10	10913401	10919198	ENSTNIG00000019270	.	+	C831	PF00249
10	10913401	10919198	ENSTNIG00000019270	.	+	C1278	PF01448
10	10921712	10924593	ENSTNIG00000019271	.	-	C917	PF00412
10	10927445	10936813	ENSTNIG00000019272	.	-	C917	PF00412
10	10943305	10957688	ENSTNIG00000019273	.	+	C831	PF00249
10	10943305	10957688	ENSTNIG00000019273	.	+	C1278	PF01448
10	11300992	11302989	ENSTNIG00000019292	.	+	C845	PF00307
10	11354143	11368687	ENSTNIG00000019299	.	+	C845	PF00307
10	11427792	11428653	ENSTNIG00000019302	.	+	C1493	PF05739
10	11429430	11430285	ENSTNIG00000019303	.	+	C1493	PF05739
10	11488375	11504515	ENSTNIG00000019310	.	+	C979	PF00536
10	11488375	11504515	ENSTNIG00000019310	.	+	C1532	PF07647
10	11503160	11505640	ENSTNIG00000019311	.	+	C979	PF00536
10	11503160	11505640	ENSTNIG00000019311	.	+	C1532	PF07647
10	11513101	11515619	ENSTNIG00000019313	.	+	C617	PF00096
10	11530541	11532392	ENSTNIG00000019316	.	+	C979	PF00536
10	11579476	11585247	ENSTNIG00000019322	.	+	C617	PF00096
10	11702209	11716149	ENSTNIG00000019335	.	+	C459	PF00069
10	11718212	11720927	ENSTNIG00000019336	.	+	C459	PF00069
